code,name,price,open,change_pct,volume,market_cap,market
6419,京晨科,69.9,72.0,1.16,59001,919814120,OTC
6425,易發,66.0,67.3,-1.93,414187,3201330000,OTC
6432,今展科,31.15,31.15,0.16,132002,1037827932,OTC
6435,大中,130.5,129.0,1.16,517050,4888699650,OTC
6441,廣錠,21.15,21.7,-1.17,68037,1127675679,OTC
6461,益得,21.85,22.0,-0.23,297102,3580581412,OTC
6462,神盾,109.0,117.0,-3.54,1908120,9946332186,OTC
6465,威潤,31.9,31.25,-1.39,205000,1362014824,OTC
6469,大樹,90.5,91.4,-0.98,626153,13543053500,OTC
6470,宇智,53.6,53.5,0.0,485036,2020403702,OTC
6482,弘煜科,34.45,36.3,-1.71,22211,986457306,OTC
6485,點序,90.0,90.5,-2.07,868208,4072230000,OTC
6486,互動,78.7,79.2,-0.63,131101,4005278944,OTC
6488,環球晶,445.5,475.0,-9.36,7634064,212999664933,OTC
6492,生華科,51.5,51.7,-3.01,649552,4603358400,OTC
6494,九齊,41.9,43.1,0.6,621140,1322351059,OTC
6496,科懋,26.3,26.35,-0.75,2006,1229189139,OTC
6499,益安,95.0,93.5,2.48,678134,8849683010,OTC
6506,雙邦,15.7,15.45,1.95,104011,1293067684,OTC
6508,惠光,23.55,23.55,0.0,71000,2037993383,OTC
6509,聚和,37.7,35.3,9.91,4953267,7409683577,OTC
6510,精測,3980.0,3930.0,1.27,369165,130500220000,OTC
6512,啟發電,20.1,20.0,0.0,2000,507726009,OTC
6516,勤崴國際,63.8,63.5,0.0,55000,3562396474,OTC
6517,保勝光學,60.5,59.5,-3.51,667020,1850032767,OTC
6523,達爾膚,117.0,117.0,-0.43,11000,5270572125,OTC
6527,明達醫,74.0,74.0,0.41,10050,1875315400,OTC
6530,創威,66.6,65.8,3.42,5896353,2247749948,OTC
6532,瑞耘,53.3,53.7,-0.74,79011,1995826359,OTC
6535,順藥,179.0,179.0,0.28,125751,30154666854,OTC
6538,倉和,67.0,68.9,-2.47,102023,2550891000,OTC
6542,隆中,53.3,53.3,0.0,33000,2238631947,OTC
6546,正基,58.9,60.3,-1.01,329010,3937347302,OTC
6547,高端疫苗,35.8,35.85,-0.28,1085326,11769213949,OTC
6548,長科*,47.3,47.9,-1.46,3573720,43677976016,OTC
6556,勝品,67.2,66.7,0.0,9006,1931999912,OTC
6560,欣普羅,43.0,43.8,5.91,548153,1396412788,OTC
6561,是方,328.0,316.0,3.96,197010,25570345360,OTC
6568,宏觀,166.0,153.5,6.75,2835189,5117614000,OTC
6569,醫揚,98.5,100.5,-2.48,108199,3848395000,OTC
6570,維田,39.6,39.65,-1.74,77000,1469919114,OTC
6574,霈方,78.4,80.6,3.57,42200,1724016033,OTC
6576,逸達,84.6,85.7,-1.05,363237,13317204109,OTC
6577,勁豐,71.5,70.7,1.13,35506,4294290000,OTC
6578,達邦蛋白,19.15,19.25,0.26,42002,1377689272,OTC
6584,南俊國際,445.0,420.0,9.2,1555470,30990439020,OTC
6588,東典光電,92.6,90.0,9.98,1919019,3213296434,OTC
6590,普鴻,71.5,71.8,-0.28,13000,1784928717,OTC
6593,台灣銘板,39.5,38.95,0.89,195998,1181541222,OTC
6596,寬宏藝術,144.5,147.5,0.0,514350,5491000000,OTC
6603,富強鑫,24.1,24.45,-1.03,1670810,3992958844,OTC
6609,瀧澤科,39.25,39.05,-0.13,89000,2843898000,OTC
6612,奈米醫材,67.2,70.0,-8.07,486320,3192979899,OTC
6613,朋億*,184.0,183.5,0.27,146505,13747060072,OTC
6615,慧智,34.05,34.35,-0.87,54086,735255253,OTC
6616,特昇-KY,10.25,10.2,-0.97,40000,363659750,OTC
6624,萬年清,65.0,64.3,0.78,39000,1357200000,OTC
6629,泰金-KY,116.0,122.0,-2.93,222000,4444675256,OTC
6640,均華,744.0,752.0,-1.2,315239,20851716000,OTC
6642,富致,56.7,56.4,0.18,199499,2120557348,OTC
6643,M31,423.5,436.0,-3.75,1330278,17698556260,OTC
6649,台生材,40.55,40.15,-0.49,104001,1703099967,OTC
6651,全宇昕,99.3,99.1,0.3,277150,3435879405,OTC
6654,天正國際,93.8,90.9,3.19,76000,3495241373,OTC
6661,威健生技,18.6,19.1,-2.62,11793,433459021,OTC
6662,樂斯科,29.75,30.4,0.34,16000,761957000,OTC
6664,群翊,274.5,285.0,-4.85,1334139,16354161000,OTC
6667,信紘科,235.0,237.5,-2.08,322442,11580536330,OTC
6679,鈺太,191.0,191.0,0.0,290010,10177881176,OTC
6680,鑫創電子,64.5,64.5,0.0,5000,1539679500,OTC
6683,雍智科技,790.0,737.0,9.87,314216,21770157190,OTC
6684,安格,45.8,48.15,-4.68,169175,2040824882,OTC
6690,安碁資訊,162.0,161.0,0.31,18050,4859954640,OTC
6692,進能服,31.3,29.65,3.81,30021,1841187712,OTC
6693,廣閎科,85.9,84.9,0.7,302000,3869451468,OTC
6697,東捷資訊,44.6,43.3,3.12,64160,1218605758,OTC
6703,軒郁,106.0,104.5,0.47,65002,3469785768,OTC
6708,天擎,41.2,41.15,-2.6,30051,1177866821,OTC
6712,長聖,154.0,161.0,1.32,753752,13489938000,OTC
6716,應廣,73.2,72.9,9.91,2193012,2216299365,OTC
6721,信實,62.0,61.5,0.0,14000,1395000000,OTC
6727,亞泰金屬,193.5,186.0,6.91,2867122,5202054000,OTC
6728,上洋,134.0,135.0,-0.74,45158,4034740000,OTC
6732,昇佳電子,172.0,172.0,0.0,135043,8412864000,OTC
6733,博晟生醫,36.8,36.4,0.82,125000,4589086607,OTC
6735,美達科技,59.4,55.4,6.07,89091,2743228215,OTC
6741,91APP*-KY,65.6,65.4,0.31,295300,7511724428,OTC
6751,智聯服務,55.7,55.2,0.18,50000,1236540016,OTC
6752,叡揚,115.0,116.5,-1.29,66000,4271577020,OTC
6761,穩得,147.0,146.0,1.73,786008,5112939300,OTC
6762,達亞,161.5,172.5,-6.65,10016,5680229550,OTC
6763,綠界科技,51.9,52.2,-0.57,268081,9551631127,OTC
